SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,115 S Jacqueline St,New Windsor,NY,12553,294900,4,2.5,New Windsor,2200,41382,1966,93,134,,Active,,,http://www.redfin.com/NY/New-Windsor/115-Jacqueline-St-12553/home/72579921,HGMLS,4938621,N,Y,41.4482781,-74.051136
MLS Listing,,Single Family Residential,2 Green Valley Ct,New Windsor,NY,12518,597000,5,4.0,New Windsor,4287,78408,2005,97,139,,Active,,,http://www.redfin.com/NY/New-Windsor/Unknown-12553/home/54908218,HGMLS,4936260,N,Y,41.430965,-74.076478
MLS Listing,,Vacant Land,414 Maple Hill Dr,Cornwall,NY,12518,114500,,,Cornwall,,60983,,99,,,Active,,,http://www.redfin.com/NY/CORNWALL/414-MAPLE-HILL-DR-12518/home/54985967,HGMLS,4935362,N,Y,41.406471,-74.07692
MLS Listing,,Vacant Land,1520 State Route 32,Highland Mills,NY,10930,125000,,,Highland Mills,,169884,,100,,,Active,,,http://www.redfin.com/NY/Highland-Mills/1520-NY-32-10930/home/54989827,HGMLS,4933844,N,Y,41.393679,-74.083754
MLS Listing,,Single Family Residential,50 Creekside Ln,Cornwall,NY,12518,305000,3,2.0,Cornwall,1326,91476,1940,105,230,,Active,,,http://www.redfin.com/NY/CORNWALL/50-CREEKSIDE-LN-12518/home/72579728,HGMLS,4932127,N,Y,41.409311,-74.07839
MLS Listing,,Single Family Residential,51 Spruce St,Cornwall On Hudson,NY,12520,399000,4,2.5,Cornwall-on-Hudson,1836,15245,1966,105,217,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/51-Spruce-St-12520/home/92374326,HGMLS,4928154,N,Y,41.4477713,-74.0190184
MLS Listing,,Single Family Residential,34 Beakes Rd,New Windsor,NY,12518,285000,4,1.5,New Windsor,2248,39639,1984,105,127,,Active,,,http://www.redfin.com/NY/New-Windsor/34-Beakes-Rd-12553/home/72610020,HGMLS,4926730,N,Y,41.4363489,-74.0578497
MLS Listing,,Single Family Residential,103 Winding Brook Ct,Cornwall,NY,12518,624900,5,3.5,Cornwall,3876,35719,2006,105,161,,Active,,,http://www.redfin.com/NY/Cornwall/103-Winding-Brook-CT-12518/home/167136964,HGMLS,4930566,N,Y,41.4343383,-74.0353681
MLS Listing,,Single Family Residential,596 Angola Rd,Cornwall,NY,12518,311500,5,2.5,Cornwall,3007,101930,1890,106,104,,Active,August-25-2019 11:00 AM,August-25-2019 02:00 PM,http://www.redfin.com/NY/Cornwall/596-Angola-Rd-12518/home/72610039,HGMLS,4929992,N,Y,41.403198,-74.069255
MLS Listing,,Single Family Residential,169 Mountain Rd,Cornwall On Hudson,NY,12520,294500,4,3.0,Cornwall-on-Hudson,3090,130680,1850,107,95,,Active,,,http://www.redfin.com/NY/Cornwall-On-Hudson/169-Mountain-Rd-12520/home/54944309,HGMLS,4924909,N,Y,41.4327031,-74.0125458
